Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank
RB,TEN,0.0,0.0,0.0,1485.0,11.0,30.0,222.0,0.0,0.0,0.0,0.0,7.0,2.92,327.0,30.0,357.0,30.0,36.0,83.0,2.0,48.0,23.0,1
RB,FA,0.0,0.0,0.0,872.0,8.0,47.0,397.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
RB,BAL,0.0,0.0,0.0,1066.0,6.0,41.0,232.0,0.0,0.0,0.0,0.0,4.0,2.44,266.0,41.0,307.0,41.0,53.0,77.0,1.0,35.0,19.0,3
RB,NO,0.0,0.0,0.0,769.0,6.0,50.0,405.0,0.0,0.0,0.0,1.0,2.0,3.51,166.0,50.0,216.0,50.0,60.0,83.0,6.0,37.0,16.0,4
RB,FA,0.0,0.0,0.0,895.0,3.0,32.0,292.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
RB,HOU,0.0,0.0,0.0,464.0,8.0,30.0,373.0,2.0,1.0,0.0,0.0,2.0,4.77,100.0,30.0,130.0,30.0,44.0,68.0,5.0,20.0,14.0,6
RB,TB,0.0,0.0,0.0,714.0,2.0,47.0,421.0,0.0,0.0,0.0,0.0,1.0,7.69,144.0,47.0,191.0,47.0,63.0,75.0,4.0,33.0,11.0,7
RB,FA,0.0,0.0,0.0,740.0,2.0,36.0,279.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
RB,FA,0.0,0.0,0.0,115.0,0.0,73.0,653.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
RB,MIA,0.0,0.0,0.0,362.0,0.0,54.0,461.0,2.0,0.0,0.0,0.0,1.0,3.2,98.0,54.0,152.0,54.0,67.0,81.0,8.0,15.0,5.0,10
RB,NE,0.0,0.0,0.0,56.0,2.0,40.0,410.0,4.0,0.0,0.0,0.0,0.0,3.59,22.0,40.0,62.0,40.0,54.0,74.0,8.0,11.0,6.0,11
RB,CAR,0.0,0.0,0.0,574.0,2.0,23.0,162.0,1.0,0.0,0.0,0.0,5.0,4.23,136.0,23.0,159.0,23.0,36.0,64.0,6.0,17.0,3.0,12
RB,FA,0.0,0.0,0.0,556.0,3.0,24.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
RB,FA,0.0,0.0,0.0,234.0,2.0,36.0,388.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
RB,FA,0.0,0.0,0.0,751.0,1.0,10.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
RB,DEN,0.0,0.0,0.0,641.0,0.0,33.0,192.0,0.0,0.0,0.0,0.0,6.0,5.23,184.0,33.0,217.0,33.0,37.0,89.0,2.0,14.0,5.0,16
RB,SF,0.0,0.0,0.0,3.0,0.0,41.0,321.0,4.0,0.0,0.0,0.0,0.0,3.78,2.0,41.0,43.0,41.0,56.0,73.0,10.0,8.0,7.0,17
RB,KC,0.0,0.0,0.0,271.0,2.0,21.0,173.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
RB,JAX,0.0,0.0,0.0,470.0,3.0,11.0,53.0,0.0,0.0,0.0,0.0,1.0,3.66,115.0,11.0,126.0,11.0,15.0,73.0,2.0,20.0,5.0,19
RB,NYJ,0.0,0.0,0.0,392.0,1.0,2.0,14.0,0.0,0.0,0.0,0.0,3.0,3.49,87.0,2.0,89.0,2.0,11.0,18.0,2.0,14.0,8.0,20
RB,FA,0.0,0.0,0.0,323.0,2.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21
RB,BUF,0.0,0.0,0.0,74.0,0.0,7.0,106.0,1.0,0.0,0.0,0.0,2.0,4.26,16.0,7.0,23.0,7.0,9.0,78.0,1.0,2.0,0.0,22
RB,NO,0.0,0.0,0.0,14.0,0.0,15.0,136.0,2.0,0.0,0.0,0.0,0.0,3.51,3.0,15.0,18.0,15.0,19.0,79.0,4.0,4.0,3.0,23
RB,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
RB,KC,0.0,0.0,0.0,2.0,0.0,5.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
